fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2020-12-31,USD,1059248000,131527000,None,44179000,-610829000,4300000,53564000,-228601000,-382228000,327659000,140681000,147931000,286501000,None,None,None,191266000,191266000,None,None,None,None,7221000,None,1347860000,None,347240000
2020-09-30,USD,85996000,None,None,None,None,4500000,43310000,-648190000,15386000,243246000,-172223000,-185203000,-6019000,None,None,None,186892000,186892000,None,None,None,None,-7221000,None,266646000,None,256722000
2020-06-30,USD,-3188000,74227000,None,-86685000,-272625000,4400000,82668000,-372754000,100129000,-277742000,-785155000,1562661000,-1209556000,None,None,None,186746000,186746000,None,None,2996090000,None,-15634000,None,774318000,None,-285613000
2020-03-31,USD,32901000,416206000,None,-223450000,-38032000,798000,118537000,-170577000,58046000,-483086000,-128091000,931854000,1173119000,500004000,None,None,186365000,186365000,None,None,1076632000,None,-500004000,None,809188000,None,-483776000
2019-12-31,USD,1207104000,98800000,None,-54198000,-716288000,7070000,85599000,-365626000,-350662000,421582000,-96544000,-1034036000,-428138000,None,None,None,188694000,188694000,None,None,None,None,-415576000,None,76524000,None,465003000
2019-09-30,USD,-299298000,111300000,None,87348000,936797000,7263000,70554000,708059000,228738000,625377000,-76781000,288061000,417056000,None,None,None,171066000,171066000,None,None,None,None,43460000,None,626410000,None,649001000
2019-06-30,USD,-66180000,104600000,None,-210886000,38713000,7269000,59146000,-165909000,204622000,65273000,-631000,123853000,-585477000,None,None,None,202538000,202538000,None,None,None,None,7199000,None,57042000,None,49221000
2019-03-31,USD,227560000,372323000,None,-24049000,-70613000,-2800000,46228000,-108085000,-10511000,-16182000,-72086000,-153278000,-11630000,None,None,None,201885000,201885000,None,None,None,None,61826000,None,17007000,14811000,128804000
2018-12-31,USD,1333712000,200000,None,41118000,-701979000,7500000,60482000,-387097000,-314882000,409120000,69781000,-1240622000,-892766000,None,None,None,201325000,201325000,None,None,None,None,-142806000,None,162871000,None,463509000
2018-09-30,USD,-174193000,11900000,None,270832000,1023694000,7900000,78294000,778771000,244923000,510736000,-89097000,146852000,254602000,None,None,None,182334000,182334000,None,None,None,None,76100000,None,510736000,None,507121000
2018-06-30,USD,277144000,5700000,None,186780000,166479000,7900000,83998000,27309000,139170000,76543000,-129230000,-343957000,-214383000,None,None,None,181517000,181517000,None,None,None,None,None,None,76543000,None,160358000
2018-03-31,USD,-243223000,105635000,None,-284372000,46254000,5000000,64164000,-33340000,83529000,128975000,-55990000,406786000,795908000,None,None,None,181373000,181373000,None,None,None,None,-250282000,None,119793000,None,252793000
2017-12-31,USD,1467977000,12600000,None,38451000,-925915000,-2100000,56886000,-518491000,-407424000,11904000,-801343000,-1664384000,-1272882000,None,None,None,181686000,181686000,None,None,None,None,41700000,None,-997750000,2965000,-90269000
2017-09-30,USD,11229000,17307000,None,243233000,851280000,5600000,65902000,668845000,182435000,386140000,-64033000,931691000,1064627000,None,None,None,165387000,165387000,None,None,None,None,-52000,None,878887000,None,386140000
2017-06-30,USD,205616000,2000000,None,1692000,-79228000,5400000,50429000,-127500000,48272000,159676000,157462000,-283835000,632552000,None,None,None,164893000,164893000,None,None,None,None,-762007000,None,159676000,None,109889000
2017-03-31,USD,-210162000,8762000,None,-229954000,243941000,5300000,61513000,84229000,159712000,293207000,-68337000,-346475000,262156000,None,None,None,172713000,172713000,None,None,None,None,-438297000,None,293207000,None,209163000
2016-12-31,USD,1433371000,408295000,None,80096000,-882568000,-2000000,58276000,-548288000,-405905000,269081000,-61610000,-875294000,-708828000,None,None,None,173588000,173588000,None,None,None,None,-238000,None,490037000,-7610000,264333000
2016-09-30,USD,30609000,8900000,None,202762000,853618000,6900000,61787000,626120000,227498000,498489000,50496000,-13134000,-666665000,None,None,None,152823000,152823000,None,None,None,None,-138200000,None,61716000,-7240000,498489000
2016-06-30,USD,162156000,1800000,None,87874000,-877000,7000000,57332000,-81781000,80904000,186252000,-58042000,1508000,268439000,None,None,None,153999000,153999000,None,None,None,None,-111700000,None,90274000,-10552000,51015000
2016-03-31,USD,-145568000,15800000,None,-351381000,91560000,6900000,42671000,-43153000,134713000,304733000,-43258000,-189959000,685985000,None,None,None,155584000,155584000,None,None,None,None,-709700000,None,-359770000,19033000,260269000
